cooked_food_id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
6329,100,330,0,23,6,0,0,195,7,0
6330,54,225,0,14,2,0,0,45,8,0
6331,70,190,0,12,4,0,0,150,7,0
6332,72,215,0,9,4,0,0,25,6,0
6333,72,270,0,12,3,0,0,115,12,0
6334,79,250,0,15,4,0,0,90,10,0
6335,77,230,0,15,3,0,0,65,9,0
6336,62,245,0,13,3,0,0,100,8,0
6337,64,250,0,16,6,0,0,120,7,0
6338,66,240,0,12,3,0,0,90,8,0
6339,77,195,0,17,3,0,0,75,1.7,0
6340,60,230,0,14,2,0,0,80,8,0
6341,66,275,0,15,6,0,0,65,4.4,0
6342,67,185,0,14,2,0,0,70,4.9,0
6343,70,195,0,13,3,0,0,65,7,0
6344,75,215,0,16,3,0,0,75,7,0
6345,73,205,0,15,3,0,0,100,6,0
6346,78,165,0,10,4,0,0,140,6,0
6347,72,195,0,13,3,0,0,65,6,0
6348,73,190,0,14,3,0,0,70,5,0
6349,70,220,0,15,4,0,0,75,7,0
6350,71,240,0,23,4,0,0,95,4.8,0
6351,61,235,0,14,2,0,0,75,8,0
6352,47,225,0,15,2,0,0,65,8,0
6353,66,250,0,15,3,0,0,95,8,0
6354,68,265,0,14,3,0,0,90,8,0
6355,56,285,0,14,3,0,0,80,8,0
6356,69,225,0,14,3,0,0,115,6,0
6357,72,195,0,12,3,0,0,65,7,0
6358,72,190,0,14,3,0,0,65,6,0
6359,70,195,0,12,3,0,0,65,6,0
6360,70,200,0,13,3,0,0,70,6,0
6361,59,225,0,16,3,0,0,100,7,0
6362,55,265,0,4,4,0,0,95,8,0
6363,73,245,0,17,3,0,0,655,7,0
6364,60,225,0,17,3,0,0,75,8,0
6365,71,260,0,17,4,0,0,130,7,0
6366,70,275,0,18,4,0,0,120,8,0
6367,60,240,0,13,3,0,0,105,8,0
6368,85,235,0,18,3,0,0,90,7,0
6369,115,315,0,30,4,0,0,75,8,0
6370,77,210,0,14,5,0,0,210,8,0
6371,85,265,0,16,4,0,0,170,11,0
6372,73,220,0,8,4,0,0,25,7,0
6373,59,240,0,13,3,0,0,80,8,0
6374,56,230,0,13,3,0,0,75,8,0
6375,61,255,0,16,3,0,0,80,8,0
6376,60,245,0,13,3,0,0,85,8,0
6377,60,245,0,13,3,0,0,85,8,0
6378,64,260,0,18,3,0,0,85,8,0
6379,71,260,0,15,3,0,0,110,8,0
6380,13,60,0,2,1,0,0,20,1.8,0
6381,17,85,0,9,1,0,0,10,1.5,0
6382,17,70,0,8,1,0,0,10,1.1,0
6383,17,75,0,9,1,0,0,10,1.3,0
6384,17,70,0,7,1,0,0,10,0.8,0
6385,17,90,0,8,1,0,0,10,2.3,0
6386,17,85,0,8,1,0,0,10,2.1,0
6387,75,231,0,22,5,0,0,80,2.2,0
6388,70,245,0,18,4,0,0,86,4.1,0
6389,110,490,0,21,10,0,0,105,8,0
6390,50,140,0,18,3,0,0,35,0.8,0
6391,50,140,0,19,3,0,0,35,0.8,0
6392,95,320,0,30,11,0,0,50,3.4,0
6393,36,95,0,4,1,0,0,15,4.4,0
6394,60,200,0,17,4,0,0,130,2.2,0
6395,60,205,0,15,4,0,0,115,1.9,0
6396,70,290,0,11,5,0,0,80,8,0
6397,70,260,0,19,4,0,0,120,8,0
6398,13,60,0,2,1,0,0,20,1.8,0
6399,100,325,0,28,5,0,0,95,10,0
6400,99,325,0,16,4,0,0,70,15,0
6401,62,200,0,17,4,0,0,120,1.8,0
6402,192,605,0,8,19,0,0,700,11,0
6403,220,435,0,7,13,0,0,690,1.9,0
