id,food_code,food_name,country_origin,manufacturer,category_main,category_sub,food_image,allergy_info,storage_info,harvest_time
60,R000060-ZZ-AVG,"멥쌀, 백미, 히토메보레, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
61,R000061-ZZ-AVG,"멥쌀, 백미, 밭벼, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
62,R000062-ZZ-AVG,"멥쌀, 백미, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
63,R000063-ZZ-AVG,"멥쌀, 백미, 농림나1호, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
64,R000064-ZZ-AVG,"멥쌀, 백미, 밭벼, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
65,R000065-ZZ-AVG,"멥쌀, 백미, 삼광, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
66,R000066-ZZ-AVG,"멥쌀, 백미, 새일미, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
67,R000067-ZZ-AVG,"멥쌀, 백미, 새추청벼, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
68,R000068-ZZ-AVG,"멥쌀, 백미, 수라벼, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
69,R000069-ZZ-AVG,"멥쌀, 백미, 신동진, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
70,R000070-ZZ-AVG,"멥쌀, 백미, 오대, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
71,R000071-ZZ-AVG,"멥쌀, 백미, 일품벼, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
72,R000072-ZZ-AVG,"멥쌀, 백미, 추청벼, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
73,R000073-ZZ-AVG,"멥쌀, 백미, 죽",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
74,R000074-ZZ-AVG,"멥쌀, 백미, 삼광, 죽",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
75,R000075-ZZ-AVG,"멥쌀, 백미, 새일미, 죽",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
76,R000076-ZZ-AVG,"멥쌀, 백미, 신동진, 죽",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
77,R000077-ZZ-AVG,"멥쌀, 백미, 오대, 죽",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
78,R000078-ZZ-AVG,"멥쌀, 백미, 미음",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
79,R000079-ZZ-AVG,"멥쌀, 백미, 가루",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
80,R000080-ZZ-AVG,"멥쌀, 칠분도미, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
81,R000081-ZZ-AVG,"멥쌀, 칠분도미, 농림나1호, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
82,R000082-ZZ-AVG,"멥쌀, 칠분도미, 밭벼, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
83,R000083-ZZ-AVG,"멥쌀, 칠분도미, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
84,R000084-ZZ-AVG,"멥쌀, 칠분도미, 농림나1호, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
85,R000085-ZZ-AVG,"멥쌀, 칠분도미, 밭벼, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
86,R000086-ZZ-AVG,"멥쌀, 칠분도미, 죽",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
87,R000087-ZZ-AVG,"멥쌀, 칠분도미, 미음",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
