NO,1회제공량(g),에너지(㎉),탄수화물(g),당류(g),단백질(g),지방(g),콜레스테롤(㎎),나트륨(㎎),포화 지방산(g),트랜스 지방산(g)
id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
6251,100,350,-,22,5,-,-,150,11,-
6252,56,266,-,21,4,-,-,141,8,-
6253,770,3095,-,26,5,-,-,160,13,-
6254,100,360,-,30,6,-,-,250,7,-
6255,100,315,-,28,6,-,-,260,2.1,-
6256,100,385,-,28,6,-,-,280,9,-
6257,100,375,-,28,6,-,-,260,9,-
6258,100,383,-,30,7,-,-,141,3.3,-
6259,100,365,-,30,6,-,-,240,8,-
6260,100,390,-,25,7,-,-,290,8,-
6261,54,171,-,16,4,-,-,54,1.1,-
6262,100,310,-,35,7,-,-,102,0.8,-
6263,460,1345,-,90,21,-,-,470,45,-
6264,547,1460,-,107,23,-,-,480,47,-
6265,778,2155,-,145,32,-,-,680,72,-
6266,100,450,-,25,6,-,-,217,13,-
6267,100,484,-,23,7,-,-,223,13,-
6268,100,306,-,39,8,-,-,189,2.2,-
6269,100,296,-,36,8,-,-,194,2.2,-
6270,889,2570,-,168,40,-,-,880,88,-
6271,970,2650,-,195,41,-,-,900,84,-
6272,638,2185,-,167,26,-,-,730,76,-
6273,698,2115,-,118,25,-,-,610,83,-
6274,705,2220,-,142,25,-,-,610,87,-
6275,556,1620,-,133,21,-,-,590,49,-
6276,798,2315,-,190,31,-,-,870,68,-
6277,619,1970,-,119,23,-,-,300,72,-
6278,719,2000,-,135,32,-,-,680,65,-
6279,973,2710,-,183,42,-,-,900,90,-
6280,616,2090,-,123,26,-,-,660,80,-
6281,664,2045,-,122,26,-,-,660,75,-
6282,667,2015,-,168,25,-,-,650,72,-
6283,1019,3090,-,251,42,-,-,1170,92,-
6284,717,1930,-,135,26,-,-,670,60,-
6285,921,2660,-,99,32,-,-,820,97,-
6286,1022,2570,-,141,24,-,-,410,116,-
6287,622,1485,-,117,23,-,-,450,40,-
6288,40,155,-,8,3,-,-,95,4.6,-
6289,800,2315,-,164,42,-,-,980,75,-
6290,79,220,-,15,3,-,-,100,8,-
6291,89,260,-,21,6,-,-,85,7,-
6292,25,110,-,9,1,-,-,15,3.3,-
6293,25,105,-,10,1,-,-,25,3.1,-
6294,542,1630,-,130,19,-,-,560,50,-
6295,80,300,-,17,4,-,-,150,9,-
6296,82,285,-,21,4,-,-,210,9,-
6297,66,155,-,10,1,-,-,60,1.2,-
6298,646,1555,-,106,23,-,-,490,54,-
6299,100,355,-,28,6,-,-,220,6,-
6300,23,85,-,10,1,-,-,5,2.2,-
6301,25,100,-,8,1,-,-,20,4.1,-
6302,175,519,-,48,27,-,-,179,3,-
6303,63,225,-,16,2,-,-,90,7,-
6304,58,220,-,11,3,-,-,60,8,-
6305,195,913,-,96,12,-,-,255,21,-
6306,55,205,-,10,2,-,-,60,8,-
6307,60,72,-,0,1,-,-,17,4,-
6308,15,71,-,0,1,-,-,16,4,-
6309,15,72,-,0,1,-,-,19,4,-
6310,40,190,-,6,3,-,-,70,7,-
6311,136,350,-,32,5,-,-,180,8,-
6312,145,355,-,31,5,-,-,160,8,-
6313,75,185,-,16,3,-,-,75,4.7,-
6314,77,315,-,34,3,-,-,110,8,-
6315,71,265,-,15,3,-,-,105,8,-
6316,71,270,-,15,3,-,-,110,8,-
