NO,1회제공량(g),에너지(㎉),탄수화물(g),당류(g),단백질(g),지방(g),콜레스테롤(㎎),나트륨(㎎),포화 지방산(g),트랜스 지방산(g)
id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
3962,30,47.4,5.7,2.1,0.6,2.4,0.6,29.7,1.26,0
3963,30,42,6,2.1,0.84,1.62,0,31.2,0.9,0
3964,30,49.46,5.54,3.46,0.29,2.92,1.8,14.22,0.72,0
3965,30,43.56,6.12,2.52,0.72,1.8,0.72,37.8,1.08,0
3966,30,43.56,6.12,2.22,0.72,1.8,0.72,37.8,1.08,0
3967,30,43.56,6.12,2.88,0.72,1.8,0.72,37.8,1.08,0
3968,30,43.55,5.81,2.03,0.58,2.03,0,12.19,1.05,0
3969,30,43.07,5.79,1.9,0.64,1.93,0,12.86,0.96,0.16
3970,30,47.06,5.66,3.86,0.51,2.57,0,15.94,1.29,0
3971,30,35.1,7.5,3.3,0.6,0.3,0,46.5,0.18,0
3972,30,49.57,5.54,3.46,0.29,2.92,1.8,14.22,0.72,0
3973,30,44.1,6.3,1.2,0.6,1.89,0,36.9,1.08,0
3974,30,68.75,10.75,2.55,0.75,2.5,1.25,65,1.5,0
3975,30,44.55,6.12,2.25,0.54,1.98,2.88,25.74,0.99,0.01
3976,30,46.06,5.82,2.66,0.53,2.38,0.79,25.41,0.95,0.13
3977,30,46.2,6,5.7,0.6,2.1,1.5,28.5,0.99,0
3978,30,45.87,6.1,5.81,0.58,2.03,1.16,27.87,0.99,0
3979,30,45.87,5.81,5.52,0.58,2.32,0.58,25.84,1.02,0
3980,30,36.6,5.7,5.4,0.6,2.1,0.9,5.1,0.9,0
3981,30,202.5,24.75,0,2.25,11.02,33.75,67.5,7.2,0
3982,30,50,5.5,3.89,0.1,2.7,0.1,11,1.35,0
3983,30,49.29,5.14,2.14,0.43,3,0,22.71,1.54,0
3984,30,48,5.94,2.7,0.54,2.4,0,31.5,1.5,0
3985,30,41.54,6.85,2.28,0.66,1.25,0,40.4,0.59,0
3986,30,40.5,4.98,2.25,0.84,1.92,0,5.7,0.66,0
3987,30,43.62,5.88,3.46,0.35,2.08,1.73,20.77,1.21,0
3988,30,43.62,5.88,3.46,0.35,2.08,1.73,20.77,1.21,0
3989,30,45.4,5.5,1.8,0.46,2.4,0,11.8,1.4,0
3990,30,44.22,6.48,0.25,0.35,1.88,0.04,34.53,1.11,0.01
3991,30,48.27,5.65,2.05,0.49,2.7,8.02,22.5,1.8,0
3992,30,42.95,4.91,2.86,0.41,2.45,4.09,18.41,1.43,0
3993,30,42.95,4.91,2.86,0.41,2.45,4.09,18.41,1.43,0
3994,30,41.54,4.67,1.97,0.55,2.28,6.37,12.46,1.38,0
3995,30,41.54,4.67,1.97,0.55,2.28,6.37,12.46,1.38,0
3996,30,45,5.45,1.91,0.55,3.27,6.82,8.18,1.39,0
3997,30,41.4,4.65,2.01,0.6,2.28,6.36,12.42,1.41,0
3998,30,52.38,5.76,3.24,0.54,3.06,0.18,21.78,1.8,0
3999,70,248.68,29.4,9.8,2.45,13.48,36.75,196,8.57,0
4000,30,48.6,5.4,2.1,0.6,2.73,9,12.6,1.74,0
4001,30,49.5,5.1,1.8,0.6,3,1.5,46.5,0.6,0.15
4002,30,44.76,5.92,1.8,0.47,2.13,0,33.16,1.18,0
4003,30,35.36,7.07,4.5,0,0.64,0,54.64,0.32,0
4004,30,44.78,6.07,2.92,0.45,2.07,0.54,6.75,1.12,0
4005,30,43.92,6.3,4.5,0.54,1.8,0,7.56,0,0
4006,30,35.36,7.07,4.5,0,0.64,0,54.64,0.32,0
4007,30,35.36,7.07,4.5,0,0.64,0,54.64,0.32,0
4008,30,35.36,7.07,4.5,0,0.64,0,54.64,0.32,0
4009,30,38,6.2,4,0.4,1.4,3.33,8.33,1.17,0
4010,30,35,8.5,0.25,0,0,0,1,0,0
4011,30,49.04,5.13,3.27,0.75,2.84,0.46,11.56,1.5,0.02
4012,30,38,7.06,1.06,0.72,0.4,0,76.2,0.36,0
4013,10,4.17,0.92,0.77,0.08,0,0,1.67,0,0
4014,10,4.17,1,0.77,0,0,0,1.67,0,0
4015,10,4.17,0.83,0.77,0,0,0,0,0,0
4016,30,33,5.7,2.66,0.3,2.1,1.5,33,1.2,0
4017,30,47.44,5.82,2.1,0.51,2.46,0.13,22.28,0.81,0.02
4018,10,3.6,0.8,0.54,0.15,0.04,0,2.7,0.03,0
4019,10,3.6,0.7,0.54,0.1,0.03,0,2.7,0.02,0
4020,10,3.6,0.8,0.54,0.15,0.04,0,2.7,0.03,0
4021,10,5,1.2,0.77,0,0,0,2.5,0,0
4022,10,4.17,0.92,0.77,0.08,0,0,1.67,0,0
4023,10,4.17,1,0.77,0,0,0,0,0,0
4024,10,3.9,1,0.77,0,0,0,0,0,0
4025,30,32.58,8.1,6.95,0,0,0,18.63,0,0
4026,30,37.53,9,6.95,0,0,0,7.47,0,0
4027,10,2.6,0.9,0.77,0,0.05,0,2,0,0
4028,10,3.5,0.81,0.6,0.04,0,0,0,0,0
4029,30,40.8,5.7,0.24,0.87,1.5,0,81,0.6,0
4030,30,34.2,6.3,0.18,1.08,0.47,0,243,0.27,0.04
4031,30,41.79,5.57,0.04,0.43,1.93,0,117.86,0.79,0.02
4032,30,40.71,5.14,0.21,1.07,1.71,0,107.14,0.73,0.02
4033,30,41.79,5.14,0.64,0.64,2.25,0,83.57,0.64,0.16
4034,30,48.54,5.79,1.61,0.55,2.57,0,45,1.29,0
4035,30,53.04,4.18,0.23,0.58,3.54,0,91.29,1.77,0
4036,30,42,6.3,1.8,0.9,1.47,0,78,0.6,0
4037,30,42.19,5.91,1.12,0.84,1.69,0.06,82.41,0.84,0
4038,30,45.6,4.65,0.3,1.17,2.43,0,72,1.71,0
4039,30,46.61,4.82,0.64,0.32,2.89,0,122.14,0.32,0
4040,30,48.3,4.8,0.3,1.2,2.7,0,42,0.3,0
4041,30,48.21,4.5,0.64,0.32,3.21,0,118.93,0.32,0
4042,30,54.64,3.21,0.25,0.96,4.18,1.61,109.29,0.8,0
4043,10,5.36,0.64,0.45,0.09,0.27,0,1.36,0.09,0
4044,30,151.02,21.42,2.44,1.16,6.75,0,120.38,1.89,0.07
4045,30,50.79,4.82,0.32,0.64,3.21,0,93.21,0.64,0
4046,30,48.21,4.18,0.32,0.64,3.21,0,80.36,0.48,0
4047,30,51.43,4.82,0.32,0.64,3.21,0,93.21,0.64,0
4048,30,48.21,4.18,0.32,0.64,3.21,0,96.43,0.48,0
4049,30,54.64,4.95,0,0.45,3.63,0,80.36,0.48,0
4050,30,50.73,4.5,0.2,0.41,3.27,0,54,2.05,0
4051,30,51,4.8,0,0.6,3.3,0,51,2.1,0
4052,30,51.3,4.8,0,0.6,3.3,0,54,2.1,0
4053,30,51,4.8,0,0.6,3.3,0,54,2.1,0
4054,30,51,4.8,0,0.6,3.3,0,51,2.1,0
4055,30,44.91,5.13,1.93,0.54,2.43,2.7,24.84,1.26,0.01
4056,30,148.41,18.15,2.79,2.03,7.52,8.94,58,5.4,0.26
4057,30,44.91,5.13,1.54,0.54,2.43,2.7,25.2,1.26,0.02
4058,30,34.2,6.12,0.68,0.9,0.68,0,45,0.11,0
4059,30,49.5,6,2.7,0.6,2.4,22.5,0.3,1.35,0
4060,30,48,5.7,2.1,0.6,2.4,0,27,1.5,0.3
4061,30,48,5.7,3.6,0.6,2.4,0,25.5,1.5,0
4062,30,46.8,5.04,0.14,0.47,2.88,0,86.4,1.37,0
4063,30,46.8,5.04,0.07,0.47,2.88,0,72,1.37,0
4064,30,85,8,0.3,0.75,5.5,0,65,1.75,0.08
4065,60,335,34,3,3,21,0,260,7,0
4066,30,49.5,4.5,0,0.54,3.42,0,27,0.99,0
4067,30,40.15,6.85,1.41,0.69,1.11,3.39,60.23,0.55,0
4068,30,45.77,5.49,2.73,0.79,2.25,3.3,11.88,0.94,0.02
4069,30,64.12,6.75,6.19,6.75,1.12,0,6.22,0.92,0
4070,20,21.33,2.53,3.33,0.19,1.2,0,3.07,0.8,0
4071,30,40.09,6.43,3.26,0.57,1.31,0,0.04,0.61,0
4072,30,46.8,5.88,1.8,0.54,2.35,0,18.24,0.68,0.01
4073,10,3.93,0.79,0.5,0,0.07,0,6.07,0.04,0
4074,20,15,3.29,1.43,0.14,0.14,0,12.14,0,0
4075,10,3.93,0.79,0.5,0,0.07,0,6.07,0.04,0
4076,30,40.5,6.3,1.8,0.3,1.5,0,22.5,0.9,0
4077,30,42,5.4,2.7,0.3,2.1,0,12,1.05,0
4078,70,205.8,32.34,7.08,1.96,7.64,0,62.72,1.96,0
4079,30,39.21,7.39,1.61,0.32,0.9,0,62.36,0.45,0
4080,30,42.6,6.3,0.3,0.3,1.8,0,25.2,0.81,0
4081,30,44.07,6.21,6.32,0.62,1.86,0,43.45,0,0
4082,30,44.07,6.21,6.21,0.62,1.86,0,43.45,0,0
4083,30,44.7,6.53,0.15,0.09,2.02,0,16.29,0.94,0
4084,30,42.97,6.57,0.53,0.12,1.8,0,27.36,0.84,0
4085,30,42,6.6,0.15,0.3,1.5,0,25.5,0,0
4086,30,44.7,6.53,0.35,0.09,2.03,0,16.29,0.94,0
4087,30,45.31,6.06,0.18,0.17,2.27,0.37,18.66,1.1,0
4088,30,44.33,6.75,0.15,0.27,1.89,0,24.75,0.86,0
4089,30,43.29,4.5,2.35,0.45,2.61,11.16,10.71,1.08,0.06
4090,30,41.94,4.77,2.35,0.45,2.34,11.7,8.1,0.99,0.06
4091,30,187.15,20.42,2.35,1.7,10.21,37.17,42.53,4.93,0.31
4092,30,44.55,5.79,3.21,0.58,2.12,0,29.51,0.06,0
4093,30,36,5.14,1.54,1.54,1.29,0,24.43,0.13,0
4094,30,36,4.89,1.29,1.8,1.29,0,27,0,0
4095,30,28.8,6.9,6.6,0.3,0,0,6,0,0
4096,30,38.08,6.85,1.66,0.97,0.76,6.92,79.62,0.48,0
4097,30,36.96,6.43,4.28,0.64,0.96,0,12.86,0.32,0
4098,30,36.96,6.43,4.28,0.64,0.96,0,12.86,0.32,0
4099,30,41.91,6.43,0.51,0.26,1.54,0,68.66,0.39,0
4100,30,32.4,7.5,3,0.6,0,0,0.3,0,0
4101,30,43.5,5.7,0.6,1.2,1.8,0,39,0.48,0
4102,30,42.39,5.85,1.09,1.21,1.56,0,43.11,0.28,0
4103,30,46.29,4.73,0.46,1.49,2.37,0,56.06,0.39,0
4104,30,35.16,7.91,0.08,0.57,0.13,0,56.57,0.06,0
4105,30,34.5,8.1,0.6,0.6,0,0,54,0,0
4106,30,48,4.5,0.3,1.5,2.7,0,30,0.6,0
4107,30,49.2,5.36,2.97,0.63,2.79,2.01,8.77,0.71,0.04
4108,10,3.75,0.94,0.75,0,0,0,1.25,0,0
4109,30,41.4,6.12,2.88,0.72,1.66,5.04,19.8,0.94,0
4110,30,39.6,6.75,1.35,0.9,1.35,5.85,19.8,0.27,0
4111,30,45,6.3,4.5,0.54,1.98,0,7.02,0.9,0
4112,30,42.48,6.84,3.17,0.36,1.62,0,20.16,0.68,0
4113,30,46.5,4,1.52,0.5,1.25,3.75,7.5,1.12,0
4114,30,44.1,5.63,2.48,0.59,2.16,0,0,1.08,0
4115,30,44.81,6.34,3.05,0.57,1.91,0,18.35,0.5,0
4116,30,43.8,6.3,5.4,0.6,1.8,3,18,0.9,0
4117,30,45.36,5.94,2.06,0.54,2.16,0.01,23.4,1.17,0.05
4118,30,44.1,5.1,1.8,1.2,2.1,4.5,2.4,0,0
4119,30,44.1,5.1,1.8,1.2,2.1,4.5,2.4,0,0
4120,30,41.1,6,2.1,0.9,1.5,4.5,2.4,0,0
4121,30,39.9,6,2.1,0.6,1.5,4.5,2.4,0,0
4122,100,102,23.4,0,2.5,0.3,0,0,-,0
4123,100,119,23.8,1.41,4.1,0.9,0,3916,-,0
4124,100,262,59,1.41,5,0.7,0,693,-,0
4125,30,39.9,6.3,1.35,0.6,1.2,0,14.1,0.6,0
4126,30,34.25,8,0.76,0.5,0,0,47.75,0,0
4127,30,43.2,5.04,1.8,1.08,2.16,0,18,0.54,0
4128,30,37.8,7.8,6.9,0.3,0.6,9,6,0.3,0
4129,10,4,0.91,0.75,0,0.03,0.03,0.37,0,0
4130,10,3.75,0.82,0.6,0.03,0.03,0,0.3,0,0
4131,10,3.75,0.82,0.6,0.03,0.03,0,0.3,0,0
4132,10,3.67,0.82,0.6,0.03,0.03,0,0.3,0,0
4133,10,3.75,0.82,0.6,0.03,0.03,0,0.3,0,0
4134,10,4,1,0.75,0,0,0,1,0,0
4135,10,3.93,0.79,0.5,0,0.07,0,6.07,0.04,0
4136,30,39,6,1.2,1.5,0.9,0,48,0,0
4137,30,45,5.1,0.9,1.2,2.4,0,54,0.45,0.15
4138,30,45,4.18,0.32,1.61,2.57,0,73.93,0.48,0.16
4139,30,45,6,0.5,1,2,0,80,1.25,0.13
4140,30,38.57,7.07,1.93,0.64,0.96,0,25.71,0.32,0.16
4141,30,35.66,6.62,1.87,0.85,0.85,0,18.68,0.17,0.08
4142,30,43.39,5.14,0.32,0.64,2.25,0,38.57,0.29,0
4143,10,3.93,0.79,0.5,0,0.07,0,6.07,0.04,0
4144,10,4.29,0.86,0.75,0,0.07,0,1.07,0.07,0
4145,10,15,3,0.75,0,0.25,0,3.75,0.25,0
4146,10,4.8,0.52,0.11,0.2,0.24,0,1.4,0.06,0
4147,10,4.11,0.86,0.75,0,0.06,0.28,1.72,0.03,0
4148,30,48,5.1,4.2,0.6,2.7,10.5,9,1.8,0
4149,30,43.88,6.53,1.35,0.6,1.69,0,33.75,0,0
4150,30,51,3.9,0.9,1.5,3.3,0,34.5,1.2,0
4151,30,46.67,5,2,0.33,3,6.67,16.67,1.33,0
4152,10,3.85,0.92,0.75,0,0,0,0.38,0,0
4153,10,3.93,1,0.75,0,0,0,0.36,0,0
4154,30,47.7,5.76,2.97,0.45,2.52,0,18.9,1.26,0.05
4155,30,49.66,5.31,3.34,0.45,2.95,0,17.1,1.86,0.05
4156,70,243.04,27.93,0,3.82,9.41,0,95.06,-,0
4157,70,244.51,36.41,0,2.99,9.65,0,95.55,-,0
4158,70,237.16,39,0,1.86,8.18,0,92.61,-,0
